DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-01-01,EQ,642.2,646.9,638.0,642.05,638.1,641.35,643.93,660.4,499.35,8295548,5341716373.3,257804,SBIN
2023-12-29,EQ,645.5,649.6,639.55,651.4,641.7,642.05,642.49,660.4,499.35,13221898,8494932618.15,332467,SBIN
2023-12-28,EQ,650.25,653.3,646.5,648.55,649.3,651.4,650.46,660.4,499.35,16982092,11046112701.5,301058,SBIN
2023-12-27,EQ,640.75,649.45,639.0,638.05,648.65,648.55,645.18,660.4,499.35,14417646,9301972173.2,295473,SBIN
2023-12-26,EQ,638.85,641.3,635.65,636.75,638.5,638.05,639.19,660.4,499.35,10153089,6489768989.95,298625,SBIN
2023-12-22,EQ,644.75,649.4,635.15,643.75,637.2,636.75,642.31,660.4,499.35,14998068,9633365890.05,307210,SBIN
2023-12-21,EQ,632.15,648.95,627.5,636.45,644.0,643.75,639.02,660.4,499.35,19915516,12726451072.85,347188,SBIN
2023-12-20,EQ,658.7,660.4,633.95,655.4,634.55,636.45,647.91,660.4,499.35,22542056,14605196613.65,419233,SBIN
2023-12-19,EQ,648.5,659.6,640.25,648.5,656.0,655.4,652.88,659.6,499.35,19964008,13034125974.85,384049,SBIN
2023-12-18,EQ,646.65,655.65,642.4,648.25,647.6,648.5,650.04,655.65,499.35,16221796,10544832650.95,347590,SBIN
2023-12-15,EQ,628.0,650.0,619.85,623.65,648.3,648.25,638.08,650.0,499.35,29813572,19023430389.9,433979,SBIN
2023-12-14,EQ,626.0,627.75,622.4,619.85,623.65,623.65,624.37,629.55,499.35,15813797,9873663687.1,336921,SBIN
2023-12-13,EQ,614.45,620.5,611.65,612.4,619.0,619.85,616.9,629.55,499.35,13977914,8622977354.1,279821,SBIN
2023-12-12,EQ,617.0,617.95,610.8,614.25,612.05,612.4,613.75,629.55,499.35,14494836,8896194867.15,282774,SBIN
2023-12-11,EQ,615.0,619.9,613.1,614.15,614.2,614.25,615.99,629.55,499.35,11706255,7210878840.8,285158,SBIN
2023-12-08,EQ,610.0,616.8,605.35,611.7,614.5,614.15,610.67,629.55,499.35,17722136,10822316306.2,294891,SBIN
2023-12-07,EQ,610.0,612.55,605.0,608.45,611.5,611.7,609.73,629.55,499.35,10725706,6539746289.5,248309,SBIN
2023-12-06,EQ,614.0,614.0,604.55,608.25,607.7,608.45,609.96,629.55,499.35,21439069,13076949822.2,273409,SBIN
2023-12-05,EQ,595.05,611.3,595.05,594.7,608.25,608.25,606.37,629.55,499.35,36430152,22090196336.45,432396,SBIN
2023-12-04,EQ,588.0,596.0,584.55,571.75,595.9,594.7,590.28,629.55,499.35,26077882,15393175008.05,386859,SBIN
2023-12-01,EQ,567.0,574.2,566.55,564.75,571.85,571.75,571.83,629.55,499.35,10614230,6069542121.05,189868,SBIN
2023-11-30,EQ,569.75,570.2,563.65,568.6,565.15,564.75,566.22,629.55,499.35,19758998,11187929536.5,314822,SBIN
2023-11-29,EQ,568.0,569.0,565.1,564.45,568.35,568.6,567.58,629.55,499.35,10299034,5845506569.15,206929,SBIN
2023-11-28,EQ,563.6,565.2,561.1,560.35,564.8,564.45,563.42,629.55,499.35,8153314,4593727819.7,186090,SBIN
2023-11-24,EQ,561.95,562.45,559.25,559.95,560.7,560.35,560.63,629.55,499.35,6529851,3660804948.55,155259,SBIN
2023-11-23,EQ,561.75,563.5,558.3,558.95,560.5,559.95,560.72,629.55,499.35,6376210,3575282774.35,198344,SBIN
2023-11-22,EQ,562.95,564.5,555.15,561.5,559.5,558.95,559.0,629.55,499.35,14909071,8334245035.5,247815,SBIN
2023-11-21,EQ,566.0,566.65,561.0,563.75,561.4,561.5,563.11,629.55,499.35,14280013,8041232058.75,223495,SBIN
2023-11-20,EQ,564.0,566.8,560.6,563.05,563.5,563.75,564.68,629.55,499.35,12714585,7179613743.45,264832,SBIN
2023-11-17,EQ,574.5,574.5,562.1,584.65,562.9,563.05,566.16,629.55,499.35,37173221,21045979976.3,682644,SBIN
2023-11-16,EQ,584.7,588.0,582.9,584.7,584.1,584.65,585.4,629.55,499.35,8622660,5047671165.75,179964,SBIN
2023-11-15,EQ,587.25,588.0,582.6,581.35,584.0,584.7,584.93,629.55,499.35,11397676,6666856921.25,221182,SBIN
2023-11-13,EQ,581.0,582.5,575.2,581.3,581.3,581.35,578.71,629.55,499.35,11282362,6529178380.05,177978,SBIN
2023-11-12,EQ,584.75,584.75,580.1,579.5,580.85,581.3,581.85,629.55,499.35,1947722,1133273076.55,53935,SBIN
2023-11-10,EQ,577.8,581.0,575.4,578.35,580.25,579.5,578.7,629.55,499.35,6773038,3919567928.9,119792,SBIN
2023-11-09,EQ,581.0,581.85,576.5,580.3,577.6,578.35,578.27,629.55,499.35,12434363,7190409015.15,167584,SBIN
2023-11-08,EQ,581.9,582.6,579.0,579.75,580.4,580.3,580.52,629.55,499.35,15434808,8960148835.65,391419,SBIN
2023-11-07,EQ,574.8,581.2,572.6,574.35,580.35,579.75,577.36,629.55,499.35,17923281,10348172706.1,466280,SBIN
2023-11-06,EQ,582.0,582.5,573.25,578.15,573.95,574.35,575.7,629.55,499.35,16499138,9498482029.95,330138,SBIN
2023-11-03,EQ,576.0,579.5,573.45,572.1,579.15,578.15,577.35,629.55,499.35,11371371,6565279355.45,205720,SBIN
2023-11-02,EQ,571.1,575.45,567.6,566.4,572.0,572.1,571.18,629.55,499.35,11148516,6367849377.0,212716,SBIN
2023-11-01,EQ,566.25,569.65,563.85,565.55,567.3,566.4,567.16,629.55,499.35,13575575,7699515897.65,240220,SBIN
2023-10-31,EQ,567.0,569.5,563.15,565.2,565.95,565.55,566.37,629.55,499.35,13039696,7385312631.25,236664,SBIN
2023-10-30,EQ,563.0,566.7,556.5,561.15,566.2,565.2,562.29,629.55,499.35,8593704,4832188898.35,191150,SBIN
2023-10-27,EQ,550.0,562.5,550.0,547.0,561.7,561.15,558.49,629.55,499.35,10415296,5816877868.95,210599,SBIN
2023-10-26,EQ,551.45,552.9,543.2,556.2,547.0,547.0,547.27,629.55,499.35,19424825,10630651336.6,317445,SBIN
2023-10-25,EQ,558.6,560.8,553.6,552.95,556.6,556.2,557.67,629.55,499.35,12134624,6767161161.25,262171,SBIN
2023-10-23,EQ,563.1,566.0,551.0,563.1,552.4,552.95,559.35,629.55,499.35,11875035,6642319960.75,263251,SBIN
2023-10-20,EQ,569.9,570.0,562.1,571.2,562.8,563.1,565.15,629.55,499.35,11110988,6279375187.5,282726,SBIN
2023-10-19,EQ,569.8,574.0,567.0,572.65,571.3,571.2,570.92,629.55,499.35,11441499,6532150778.6,239777,SBIN
2023-10-18,EQ,577.75,579.25,569.35,576.45,572.75,572.65,573.26,629.55,499.35,11777454,6751531244.1,270057,SBIN
